=== google-t5/t5-base ===
source                                            translation                                       reference                                         
to the atom that it hits.                         auf das Atom, das es trifft.                      vom Atom, auf welches er trifft.                  
People are more likely to support the use         Die Wahrscheinlichkeit, die Verwendung zu unterstützen, ist höher.Die Menschen unterstützen den Einsatz von Gewalt eher,
That's why in negotiations, often, when things get tough,Aus diesem Grund werden in Verhandlungen oft, wenn die Dinge hart werden,und ihn wie einen Freund zu behandeln,            
why the buildings failed.                         warum die Gebäude gescheitert sind.               warum die Gebäude nicht standhielten.             
We have confusion about what we should think about a new technology.Wir haben Verwirrung darüber, was wir über eine neue Technologie denken sollten.Wir sind verwirrt über das, was wir über neue Technik denken sollten.
virtually like this and showing people            praktisch so und den Menschen zu zeigen           wie hier zu sehen ist, und den Menschen           
and I professionally watch YouTube videos.        und ich sehe professionelle YouTube-Videos.       Beruflich schaue ich mir YouTube-Videos an.       
we lived for all those years,                     wir haben all diese Jahre gelebt,                 lebten wir all die Jahre,                         
GH: Oh, D and F -- too familiar.                  GH: Oh, D und F -- zu vertraut.                   Nun, sie hat C, G, H, A, E ausgesucht.            
which is around 12,000 years old.                 die etwa 12.000 Jahre alt ist.                    der etwa 12000 Jahre alt ist.                     
It was no big deal, but it was a latrine.         Es war kein großes Problem, aber es war eine Trennwand.Es war nichts Besonderes, aber es war eine Latrine.
Even in the midst of terrible destruction and death and chaos,Selbst inmitten schrecklicher Zerstörung, Tod und Chaos,Sogar inmitten schrecklicher Zerstörung, Tod und Chaos,
to all the bright and dazzly things,              zu all den hellen und skurrilen Dingen,           all die hellen und begeisternden Dinge,           
they even do little stunts.                       Sie machen sogar kleine Stunts.                   dass sie sogar kleine Stunts machen.              
And the list looked something like this a little while ago.Und die Liste sah vor einiger Zeit so aus.        Und die Liste sah vor kurzem in etwa so aus.      
but also as a political program.                  aber auch als politisches Programm.               sondern auch als politisches Programm.            
comes straight down from the mushroom cloud that goes up.kommt direkt von der Pilzwolke, die nach oben geht.direkt vom Atompilz runter kommt.                 
Nothing with a face Monday through Friday.        Nichts mit einem Gesicht Montag bis Freitag.      Nichts mit einem Gesicht von Montag bis Freitag.  
of all other forms of life combined.              von allen anderen Formen des Lebens kombiniert.   aller anderen Lebewesen zusammen.                 
And the story of the Intermittent Absorption Refrigerator.Und die Geschichte des Intermittent Absorption Kühler.Es sind zwei Bereiche, durch Abstand getrennt sind.
\"Moon is one with God.                           "Moon ist eins mit Gott.                          \"Moon ist eins mit Gott.                         
Take the goggles off. Take the goggles off!       Nehmen Sie die Brille ab, nehmen Sie sie ab!      Nimm die Schwimmbrille ab. Nimm die Schwimmbrille ab!
The Temple of Dendur at the Metropolitan in New York -- it's a very somber place.Der Dendur-Tempel im Metropolitan in New York -- es ist ein sehr düsterer Ort.Der Tempel von Dendur im Metropolitan in New York -- ein sehr trister Ort.
but they use those same wings to flip over        aber sie benutzen dieselben Flügel, um sich zu drehenaber sie benutzen dieselben Flügel, um sich umzudrehen
totally trying to capture what cinema is for me,  völlig versuchen, zu erfassen, was Kino für mich ist,versucht wirklich total einzufangen, was Kino für mich bedeutet,
to be a worthless artifact.                       ein wertloses Artefakt zu sein.                   als wertlose Artefakte betrachtete.               
and they weren't going to let anyone              und sie wollten niemanden lassen                  und sie würden sie sich von niemandem             
to mimic a movement or a facial expression,       eine Bewegung oder einen Gesichtsausdruck nachahmen,eine Bewegung oder einen Gesichtsausdruck zu imitieren,
a giant mushroom.                                 ein riesiger Pilz.                                ein riesiger Pilz.                                
and share ideas for free.\"                       und Ideen kostenlos teilen."                      und Ideen austauschen, umsonst.\"                 
the U.S. Navy had a system that was secret at the time,die U.S. Navy hatte ein System, das damals geheim war,verfügte die US-Marine über ein zu der Zeit geheimes System
We had about 20 people who made donations --      Wir hatten etwa 20 Spender -                      Wir hatten etwa 20 Leute, welche Geld gespendet hatten --
watching the people going to work,                die Menschen zu beobachten, die zur Arbeit gehen, zu sehr ähnelten.                                 
it’s famous for its [beach] volleyball courts,    Es ist berühmt für seine [Strand] Volleyballplätze,der berühmt ist für seine Volleyballfelder        
digitally enabled and transparent,                digitalisiert und transparent,                    digital besser ausgestattet und transparenter,    
I'm going to give you a little clue.              Ich werde Ihnen einen kleinen Hinweis geben.      gebe ich Ihnen einen kleinen Hinweis.             
and so it bolsters the colony health and their social immunity.und so stärkt es die Gesundheit der Kolonie und ihre soziale Immunität.Auf diese Weise wird die Gesundheit und soziale Sicherheit des Bienenvolks gestärkt.
and it actually sleeps four people.               und es schlafen tatsächlich vier Personen.        können vier Leute darin schlafen.                 
I'll tell you: 158.                               Ich sage Ihnen: 158.                              Ich verrate es Ihnen: 158.                        
Here you see, with felt and paper water bottles,  Hier sehen Sie, mit Filz und Papier-Wasserflaschen,Hier sehen wir, mit Filz, Papier und Wasserflaschen,
So, we were talking about the differences         Wir haben also über die Unterschiede gesprochen.  Also haben wir über die Unterschiede              
It's so unpredictable                             Es ist so unvorhersehbar                          Es ist so unberechenbar                           
that the West still leads in terms of technological innovation.dass der Westen immer noch in Bezug auf technologische Innovation an der Spitze steht.dass der Westen immer noch im Bereich technologischer Innovationen führend ist.
So right now, in my lab, we're combining          So kombinieren wir derzeit in meinem Labor        In meinem Labor kombinieren wir gerade zwei Methoden,
that in the next 10 years                         dass in den nächsten zehn Jahren                  dass in den nächsten 10 Jahren                    
This has been replicated over and over again      Dies wird immer wieder wiederholt.                Diese bedingten Motivatoren --                    
and we're the caterpillars                        und wir sind die Raupen                           und wir sind die Raupen,                          
the dog is a surrogate for you,                   der Hund ist ein Leihhund für Sie,                der Hund ein Stellvertreter für Sie ist,          
nothing would have happened.                      Nichts wäre geschehen.                            Die Beziehung war eins-zu-eins.                   
not for use in patients.                          nicht für Patienten geeignet.                     nicht zur Anwendung bei Patienten.                
And they actually use the Nintendo Wii Remote.    Und sie verwenden tatsächlich die Nintendo Wii Remote.die in letzter Zeit viel Aufmerksamkeit bekommen haben
we are polluting so much                          wir verschmutzen so viel                          verursachen wir so viel Verschmutzung,            
the girl means to mean,                           das Mädchen bedeutet, zu meinen,                  Das Mädchen meint zu meinen,                      
and 18 of those are bats.                         und 18 davon sind Fledermäuse.                    18 davon sind Fledermäuse.                        
and you need a controller,                        und Sie benötigen einen Controller,               und man braucht Steuerung.                        
who had studied the old Vatican mosaic techniques,die die alten Mosaiktechniken des Vatikans studiert hatten,die die alten vatikanischen Mosaiktechniken studiert hat,
hundreds of thousands of DNA samples from people all over the world.\"Hunderttausende DNA-Proben von Menschen auf der ganzen Welt"und hunderttausende DNA-Proben aus der ganzen Welt sammeln.
